Category,Dataset / Source,Provider,Countries / Coverage,Data Type,Resolution,Latency / Update Frequency,Access Method,Notes
Satellite,Sentinel-5P (TROPOMI),ESA / Copernicus,Global,"NO2, SO2, CO, O3, aerosol index, formaldehyde",~5.5 km,Daily,Free via Google Earth Engine or Copernicus Data Space,Core trace-gas layer for industrial and combustion emissions
Satellite,NASA FIRMS (MODIS),NASA,Global,Active fire / thermal anomaly locations,1 km,Within 3 hours of satellite pass,Free web map + downloadable SHP/KML/TXT/CSV + email alerts,Primary source for crop-burning and wildfire hotspot detection
Satellite,NASA FIRMS (VIIRS),NASA (S-NPP / NOAA-20 / NOAA-21),Global,Active fire / thermal anomaly locations,375 m,Within 3 hours globally,Free web map + downloadable SHP/KML/TXT/CSV + email alerts,Higher resolution than MODIS; better for smaller agricultural burns
Satellite,MODIS / MAIAC Aerosol Optical Depth,NASA (Aqua/Terra),Global,Aerosol optical depth (convertible to PM2.5 estimate via regression),1 km,Daily,Free via Google Earth Engine,Needs local ground-truth regression model per region for PM2.5 conversion
Satellite,Copernicus CAMS Global Atmospheric Composition,ECMWF / Copernicus,Global,Pollutant and aerosol reanalysis and forecasts,~40 km,Hourly forecasts,Free via Copernicus Atmosphere Data Store (ADS) API,Good for corridor-level forecast baseline, coarser than TROPOMI
Ground network,CPCB CAAQMS,Central Pollution Control Board,India (276+ stations / 145 cities),"PM2.5, PM10, SO2, NO2, CO, O3",Station-level,Hourly,Public dashboard (app.cpcbccr.com); no stable official API, commonly scraped or accessed via aggregators,Also complemented by IITM Pune's SAFAR network
Ground network,China National Air Quality Network (via PM25.in),China National Environmental Monitoring Centre,China,"PM2.5, PM10, CO, NO2, O3",Station-level,Real-time,Third-party API (pm25.in),Unofficial aggregator of the national real-time network
Ground network,SAAQIS,South African Dept. of Environment,South Africa,Criteria pollutants + air quality index,Station-level,Real-time,Public web portal (saaqis.environment.gov.za),No confirmed public API; primarily a dashboard/report interface
Ground network,OpenAQ,OpenAQ (nonprofit),"Global aggregator, incl. India, China, Brazil, South Africa","PM2.5, PM10, SO2, NO2, CO, O3",Station-level,Hourly (varies by source),Free open API,Harmonizes disparate national formats into one schema; recommended backbone for the Fuse stage
Ground network (low-cost / citizen-adjacent),PurpleAir,PurpleAir,Global (dense in some Indian/urban areas),PM2.5 (low-cost sensor),Sensor-level,Real-time,Public API,Useful as a calibration reference for citizen-photo model
Ground network (low-cost / citizen-adjacent),Clarity / AirVeda / AQI.in,Various commercial,India and other regions,PM2.5 / PM10 (low-cost sensor networks),Sensor-level,Real-time,Commercial APIs (access varies),Supplementary densification layer, not authoritative
Meteorological,ERA5 Reanalysis,ECMWF / Copernicus Climate Change Service,Global,"Wind, temperature, humidity, boundary layer height",~31 km / hourly,Hourly (historical + near-present),Free via Copernicus Climate Data Store (CDS) API,Backbone for historical wind-field reconstruction and plume back-tracking
Meteorological,CAMS Atmospheric Forecasts,ECMWF / Copernicus,Global,Wind and atmospheric composition forecasts,~40 km,Twice daily, up to 5-day forecast,Free via ADS API,Feeds the forecast stage's wind-driven plume projection
Meteorological,NOAA GFS,NOAA,Global,"Wind, precipitation, temperature forecasts",~28 km,Every 6 hours,Free (NOMADS / AWS Open Data),Shorter-horizon forecast input, good redundancy against CAMS
Fire / burning (supplementary),INPE Queimadas,Instituto Nacional de Pesquisas Espaciais,Brazil,Fire outbreak detections and burn area,Station/satellite-derived,Daily,Public portal,Brazil-specific fire program, complements FIRMS coverage
Citizen-sourced,Aeromesh citizen photo reports,Platform-native (to be built),All BRICS corridors,Geotagged photo + on-device haze score,Point-level,Real-time (as submitted),In-app capture; no existing dataset,"Requires bootstrap training set pairing photos with nearby CAAQMS/OpenAQ ground readings as labels, then crowdsourced refinement"
